partner_org_id,org_name_en,org_name_th,org_type,country_id,country_name,continent,field_area,website,status,source_note,created_at,updated_at
PORG-1CC662D97D,Alliance Française Chiangrai,,NGO / มูลนิธิ,CTRY-FR,France,Europe,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-A3C5314588,"Tokyu Resort and Stay Co., Ltd",,เอกชน,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-471000EF5F,"Spicy Co., Ltd",,เอกชน,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-35381A3716,"Tsuruya Hotel Co., Ltd",,เอกชน,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-EC6F58939C,"Hakuba 47 Co., Ltd",,เอกชน,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-A994996F61,Southbourne School of English,,มหาวิทยาลัย,CTRY-GB,United Kingdom,Europe,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-F9553ABC77,"JR School, Republic of Mauritius",,มหาวิทยาลัย,CTRY-MU,Mauritius,Africa,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-D266ECDD50,Reitaku University,,มหาวิทยาลัย,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-84479F510C,National Chi Nan University,,มหาวิทยาลัย,CTRY-TW,Taiwan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-80E578DE90,Tokai University Takanawadai Senior High School,,มหาวิทยาลัย,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-4AAD07C3F3,John Monash Science School,,มหาวิทยาลัย,CTRY-AU,Australia,Oceania,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-396BC398EC,UNESCO Ballarat,,NGO / มูลนิธิ,CTRY-AU,Australia,Oceania,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-E7359CF830,Novosibirsk State Univ.,,มหาวิทยาลัย,CTRY-RU,Russia,Europe,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-16E74B8C2A,,ความร่วมมือผ่านเครือข่าย Educatius (USA),มหาวิทยาลัย,CTRY-US,USA,Americas,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-48A17FE9EF,Medical Univ. of Graz,,มหาวิทยาลัย,CTRY-AT,Austria,Europe,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-E85BF07223,Mountbatten Institute,,มหาวิทยาลัย,CTRY-US,USA,Americas,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-26737F7F47,Benguet State University,,มหาวิทยาลัย,CTRY-PH,Philippines,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
